ah001-001|I will arise and go now, and go to Innisfree,|I will arise and go now, and go to Innisfree,
ah001-002|And a small cabin build there, of clay and wattles made;|And a small cabin build there, of clay and wattles made;
ah001-003|9 bean rows will I have there, a hive for the honey bee,|Nine bean rows will I have there, a hive for the honey bee,
ah001-004|And live alone in the bee loud glade.|And live alone in the bee loud glade.
ah001-005|And I shall have some peace there, for peace comes dropping slow,|And I shall have some peace there, for peace comes dropping slow,
ah001-006|Dropping from the veils of the morning to where the cricket sings;|Dropping from the veils of the morning to where the cricket sings;
ah001-007|There midnight's all a glimmer, and noon a purple glow,|There midnight's all a glimmer, and noon a purple glow,
ah001-008|And evening full of the linnet's wings.|And evening full of the linnet's wings.
ah001-009|I will arise and go now, for always night and day|I will arise and go now, for always night and day
ah001-010|I hear lake water lapping with low sounds by the shore;|I hear lake water lapping with low sounds by the shore;
ah001-011|While I stand on the roadway, or on the pavements grey,|While I stand on the roadway, or on the pavements grey,
ah001-012|I hear it in the deep heart's core.|I hear it in the deep heart's core.
ah002-001|Do not go gentle into that good night,|Do not go gentle into that good night,
ah002-002|Old age should burn and rave at close of day;|Old age should burn and rave at close of day;
ah002-003|Rage, rage against the dying of the light.|Rage, rage against the dying of the light.
ah002-004|Though wise men at their end know dark is right,|Though wise men at their end know dark is right,
ah002-005|Because their words had forked no lightning, they|Because their words had forked no lightning, they
ah002-006|Do not go gentle into that good night.|Do not go gentle into that good night.
ah002-007|Good men, the last wave by, crying how bright|Good men, the last wave by, crying how bright
ah002-008|Their frail deeds might have danced in a green bay,|Their frail deeds might have danced in a green bay,
ah002-009|Rage, rage against the dying of the light.|Rage, rage against the dying of the light.
ah002-010|Wild men who caught and sang the sun in flight,|Wild men who caught and sang the sun in flight,
ah002-011|And learn, too late, they grieved it on its way,|And learn, too late, they grieved it on its way,
ah002-012|Do not go gentle into that good night.|Do not go gentle into that good night.
ah002-013|Grave men, near death, who see with blinding sight|Grave men, near death, who see with blinding sight
ah002-014|Blind eyes could blaze like meteors and be gay,|Blind eyes could blaze like meteors and be gay,
ah002-015|Rage, rage against the dying of the light.|Rage, rage against the dying of the light.
ah002-016|And you, my father, there on the sad height,|And you, my father, there on the sad height,
ah002-017|Curse, bless, me now with your fierce tears, I pray.|Curse, bless, me now with your fierce tears, I pray.
ah002-018|Do not go gentle into that good night.|Do not go gentle into that good night.
ah002-019|Rage, rage against the dying of the light.|Rage, rage against the dying of the light.
ah003-001|Now as I was young and easy under the apple boughs about the lilting house and happy as the grass was green,|Now as I was young and easy under the apple boughs about the lilting house and happy as the grass was green,
ah003-002|The night above the dingle starry,|The night above the dingle starry,
ah003-003|Time let me hail and climb golden in the heydays of his eyes,|Time let me hail and climb golden in the heydays of his eyes,
ah003-004|And honored among wagons I was prince of the apple towns,|And honored among wagons I was prince of the apple towns,
ah003-005|And once below a time I lordly had the trees and leaves trail with daisies and barley,|And once below a time I lordly had the trees and leaves trail with daisies and barley,
ah003-006|Down the rivers of the windfall light.|Down the rivers of the windfall light.
ah003-007|And as I was green and carefree, famous among the barns about the happy yard and singing as the farm was home, in the sun that is young once only,|And as I was green and carefree, famous among the barns about the happy yard and singing as the farm was home, in the sun that is young once only,
ah003-008|Time let me play and be golden in the mercy of his means,|Time let me play and be golden in the mercy of his means,
ah003-009|And green and golden I was huntsman and herdsman, the calves sang to my horn, the foxes on the hills barked clear and cold.|And green and golden I was huntsman and herdsman, the calves sang to my horn, the foxes on the hills barked clear and cold.
ah003-010|And the sabbath rang slowly in the pebbles of the holy streams.|And the sabbath rang slowly in the pebbles of the holy streams.
ah003-011|All the sun long it was running, it was lovely, the hay fields high as the house, the tunes from the chimneys, it was air and playing, lovely and watery and fire green as grass.|All the sun long it was running, it was lovely, the hay fields high as the house, the tunes from the chimneys, it was air and playing, lovely and watery and fire green as grass.
ah003-012|And nightly under the simple stars as I rode to sleep the owls were bearing the farm away.|And nightly under the simple stars as I rode to sleep the owls were bearing the farm away.
ah003-013|All the moon long I heard, blessed among stables, the nightjars flying with the ricks.|All the moon long I heard, blessed among stables, the nightjars flying with the ricks.
ah003-014|And the horses flashing into the dark.|And the horses flashing into the dark.
ah003-015|And then to awake, and the farm, like a wanderer white with the dew, come back, the cock on his shoulder:|And then to awake, and the farm, like a wanderer white with the dew, come back, the cock on his shoulder:
ah003-016|It was all shining, it was Adam and maiden.|It was all shining, it was Adam and maiden.
ah003-017|The sky gathered again and the sun grew round that very day.|The sky gathered again and the sun grew round that very day.
ah003-018|So it must have been after the birth of the simple light|So it must have been after the birth of the simple light
ah003-019|In the first, spinning place, the spellbound horses walking warm|In the first, spinning place, the spellbound horses walking warm
ah003-020|Out of the whinnying green stable|Out of the whinnying green stable
ah003-021|On to the fields of praise.|On to the fields of praise.
ah003-022|And honored among foxes and pheasants by the gay house under the new made clouds and happy as the heart was long, in the sun born over and over, I ran my heedless ways.|And honored among foxes and pheasants by the gay house under the new made clouds and happy as the heart was long, in the sun born over and over, I ran my heedless ways.
ah003-023|My wishes raced through the house high hay, and nothing I cared, at my sky blue trades, that time allows in all his tuneful turning.|My wishes raced through the house high hay, and nothing I cared, at my sky blue trades, that time allows in all his tuneful turning.
ah003-024|So few and such morning songs.|So few and such morning songs.
ah003-025|Before the children green and golden follow him out of grace,|Before the children green and golden follow him out of grace,
ah003-026|Nothing I cared, in the lamb white days,|Nothing I cared, in the lamb white days,
ah003-027|that time would take me up to the swallow thronged loft|that time would take me up to the swallow thronged loft
ah003-028|by the shadow of my hand, in the moon that is always rising.|by the shadow of my hand, in the moon that is always rising.
ah003-029|Nor that riding to sleep I should hear him fly with the high fields.|Nor that riding to sleep I should hear him fly with the high fields.
ah003-030|And wake to the farm forever fled|And wake to the farm forever fled
ah003-031|from the childless land.|from the childless land.
ah003-032|Oh as I was young and easy in the mercy of his means,|Oh as I was young and easy in the mercy of his means,
ah003-033|Time held me green and dying|Time held me green and dying
ah003-034|Though I sang in my chains|Though I sang in my chains
ah003-035|like the sea.|like the sea.
ah004-001|Let us go then, you and I, when the evening is spread out against the sky like a patient etherized upon a table;|Let us go then, you and I, when the evening is spread out against the sky like a patient etherized upon a table;
ah004-002|Let us go, through certain half deserted streets, the muttering retreats of restless nights in 1 night cheap hotels.|Let us go, through certain half deserted streets, the muttering retreats of restless nights in one night cheap hotels.
ah004-003|And sawdust restaurants with oyster shells:|And sawdust restaurants with oyster shells:
ah004-004|Streets that follow like a tedious argument of insidious intent|Streets that follow like a tedious argument of insidious intent
ah004-005|To lead you to an overwhelming question|To lead you to an overwhelming question
ah004-006|Oh, do not ask what is it?|Oh, do not ask what is it?
ah004-007|Let us go and make our visit.|Let us go and make our visit.
ah004-008|In the room the women come and go, talking of Michelangelo.|In the room the women come and go, talking of Michelangelo.
ah004-009|The yellow fog that rubs its back upon the window panes, the yellow smoke that rubs its muzzle on the window panes,|The yellow fog that rubs its back upon the window panes, the yellow smoke that rubs its muzzle on the window panes,
ah004-010|Licked its tongue into the corners of the evening, lingered upon the pools that stand in drains,|Licked its tongue into the corners of the evening, lingered upon the pools that stand in drains,
ah004-011|Let fall upon its back the soot that falls from chimneys,|Let fall upon its back the soot that falls from chimneys,
ah004-012|Slipped by the terrace, made a sudden leap,|Slipped by the terrace, made a sudden leap,
ah004-013|And seeing that it was a soft October night,|And seeing that it was a soft October night,
ah004-014|Curled once about the house, and fell asleep.|Curled once about the house, and fell asleep.
ah004-015|And indeed there will be time for the yellow smoke that slides along the street,|And indeed there will be time for the yellow smoke that slides along the street,
ah004-016|Rubbing its back upon the window panes;|Rubbing its back upon the window panes;
ah004-017|There will be time, there will be time to prepare a face to meet the faces that you meet;|There will be time, there will be time to prepare a face to meet the faces that you meet;
ah004-018|There will be time to murder and create, and time for all the works and days of hands|There will be time to murder and create, and time for all the works and days of hands
ah004-019|That lift and drop a question on your plate;|That lift and drop a question on your plate;
ah004-020|Time for you and time for me,|Time for you and time for me,
ah004-021|And time yet for a hundred indecisions, and for a hundred visions and revisions,|And time yet for a hundred indecisions, and for a hundred visions and revisions,
ah004-022|Before the taking of a toast and tea.|Before the taking of a toast and tea.
ah004-023|In the room the women come and go|In the room the women come and go
ah004-024|Talking of Michelangelo.|Talking of Michelangelo.
ah004-025|And indeed there will be time to wonder, "Do I dare?" and, "Do I dare?"|And indeed there will be time to wonder, "Do I dare?" and, "Do I dare?"
ah004-026|Time to turn back and descend the stair, with a bald spot in the middle of my hair|Time to turn back and descend the stair, with a bald spot in the middle of my hair
ah004-027|They will say, "How his hair is growing thin!"|They will say, "How his hair is growing thin!"
ah004-028|My morning coat, my collar mounting firmly to the chin,|My morning coat, my collar mounting firmly to the chin,
ah004-029|My necktie rich and modest, but asserted by a simple pin|My necktie rich and modest, but asserted by a simple pin
ah004-030|They will say, "But how his arms and legs are thin!"|They will say, "But how his arms and legs are thin!"
ah004-031|Do I dare disturb the universe?|Do I dare disturb the universe?
ah004-032|In a minute there is time for decisions and revisions|In a minute there is time for decisions and revisions
ah004-033|which a minute will reverse.|which a minute will reverse.
ah004-034|For I have known them all already, known them all.|For I have known them all already, known them all.
ah004-035|Have known the evenings, mornings, afternoons,|Have known the evenings, mornings, afternoons,
ah004-036|I have measured out my life with coffee spoons;|I have measured out my life with coffee spoons;
ah004-037|I know the voices dying with a dying fall beneath the music from a farther room.|I know the voices dying with a dying fall beneath the music from a farther room.
ah004-038|So how should I presume?|So how should I presume?
ah004-039|And I have known the eyes already, known them all|And I have known the eyes already, known them all
ah004-040|The eyes that fix you in a formulated phrase,|The eyes that fix you in a formulated phrase,
ah004-041|And when I am formulated, sprawling on a pin, when I am pinned and wriggling on the wall,|And when I am formulated, sprawling on a pin, when I am pinned and wriggling on the wall,
ah004-042|Then how should I begin to spit out all the butt ends of my days and ways?|Then how should I begin to spit out all the butt ends of my days and ways?
ah004-043|And how should I presume?|And how should I presume?
ah004-044|And I have known the arms already, known them all arms that are braceleted and white and bare|And I have known the arms already, known them all arms that are braceleted and white and bare
ah004-045|But in the lamplight, downed with light brown hair|But in the lamplight, downed with light brown hair
ah004-046|Is it perfume from a dress that makes me so digress?|Is it perfume from a dress that makes me so digress?
ah004-047|Arms that lie along a table, or wrap about a shawl.|Arms that lie along a table, or wrap about a shawl.
ah004-048|And should I then presume?|And should I then presume?
ah004-049|And how should I begin?|And how should I begin?
ah004-050|Shall I say, I have gone at dusk through narrow streets and watched the smoke that rises from the pipes of lonely men in shirt sleeves, leaning out of windows?|Shall I say, I have gone at dusk through narrow streets and watched the smoke that rises from the pipes of lonely men in shirt sleeves, leaning out of windows?
ah004-051|I should have been a pair of ragged claws|I should have been a pair of ragged claws
ah004-052|Scuttling across the floors of silent seas.|Scuttling across the floors of silent seas.
ah004-053|And the afternoon, the evening, sleeps so peacefully! Smoothed by long fingers, asleep, tired, or it malingers,|And the afternoon, the evening, sleeps so peacefully! Smoothed by long fingers, asleep, tired, or it malingers,
ah004-054|Stretched on the floor, here beside you and me.|Stretched on the floor, here beside you and me.
ah004-055|Should I, after tea and cakes and ices, have the strength to force the moment to its crisis?|Should I, after tea and cakes and ices, have the strength to force the moment to its crisis?
ah004-056|But though I have wept and fasted, wept and prayed,|But though I have wept and fasted, wept and prayed,
ah004-057|Though I have seen my head, grown slightly bald, brought in upon a platter,|Though I have seen my head, grown slightly bald, brought in upon a platter,
ah004-058|I am no prophet and here's no great matter;|I am no prophet and here's no great matter;
ah004-059|I have seen the moment of my greatness flicker,|I have seen the moment of my greatness flicker,
ah004-060|And I have seen the eternal Footman hold my coat, and snicker,|And I have seen the eternal Footman hold my coat, and snicker,
ah004-061|And in short, I was afraid.|And in short, I was afraid.
ah004-062|And would it have been worth it, after all?|And would it have been worth it, after all?
ah004-063|After the cups, the marmalade, the tea,|After the cups, the marmalade, the tea,
ah004-064|Among the porcelain, among some talk of you and me,|Among the porcelain, among some talk of you and me,
ah004-065|Would it have been worth while, to have bitten off the matter with a smile, to have squeezed the universe into a ball?|Would it have been worth while, to have bitten off the matter with a smile, to have squeezed the universe into a ball?
ah004-066|To roll it towards some overwhelming question, to say|To roll it towards some overwhelming question, to say
ah004-067|I am Lazarus, come from the dead, come back to tell you all, I shall tell you all|I am Lazarus, come from the dead, come back to tell you all, I shall tell you all
ah004-068|If 1, settling a pillow by her head should say|If one, settling a pillow by her head should say
ah004-069|That is not what I meant at all; That is not it, at all.|That is not what I meant at all; That is not it, at all.
ah004-070|And would it have been worth it, after all?|And would it have been worth it, after all?
ah004-071|Would it have been worth while,|Would it have been worth while,
ah004-072|After the sunsets and the dooryards and the sprinkled streets,|After the sunsets and the dooryards and the sprinkled streets,
ah004-073|After the novels, after the teacups, after the skirts that trail along the floor|After the novels, after the teacups, after the skirts that trail along the floor
ah004-074|And this, and so much more?|And this, and so much more?
ah004-075|It is impossible to say just what I mean! But as if a magic lantern threw the nerves in patterns on a screen|It is impossible to say just what I mean! But as if a magic lantern threw the nerves in patterns on a screen
ah004-076|Would it have been worth while if 1, settling a pillow or throwing off a shawl,|Would it have been worth while if one, settling a pillow or throwing off a shawl,
ah004-077|And turning toward the window, should say:|And turning toward the window, should say:
ah004-078|That is not it at all. That is not what I meant, at all.|That is not it at all. That is not what I meant, at all.
ah004-080|I am not Prince Hamlet, nor was meant to be;|I am not Prince Hamlet, nor was meant to be;
